,,,,,Overweight or Obese Adults : Summarize
Topic: Health Behavior and Population
Subtopic: Overweight
Indicator Name: Overweight or Obese Adults
Indicator Description: Overweight or Obese Adults
Notes: *Estimate is based on small numbers so should be interpreted with caution

Year,GeoTypeName,Borough,Geography,Geography_id,IndicatorDescription,Number,Percent,
2014,Neighborhood (UHF 34),Queens, Rockaways,410,Overweight or Obese Adults,"51,000* ","62.7* (48.1,75.4)",
2014,Neighborhood (UHF 34),Bronx, South Bronx,105106107,Overweight or Obese Adults,"254,000 ","67.4 (62.0,72.3)",
2014,Neighborhood (UHF 34),Queens, Southeast Queens,409,Overweight or Obese Adults,"81,000 ","53.4 (43.4,63.1)",
2014,Neighborhood (UHF 34),Staten Island, Southern SI,503504,Overweight or Obese Adults,"140,000 ","65.5 (58.8,71.7)",
2014,Neighborhood (UHF 34),Queens, Southwest Queens,407,Overweight or Obese Adults,"132,000 ","63.7 (53.7,72.7)",
2014,Neighborhood (UHF 34),Brooklyn, Sunset Park,205,Overweight or Obese Adults,"51,000 ","53.4 (43.5,63.1)",
2014,Neighborhood (UHF 34),Manhattan, Union Square-Lower Manhattan,309310,Overweight or Obese Adults,"83,000 ","40.0 (33.0,47.3)",
2014,Neighborhood (UHF 34),Manhattan, Upper East Side-Gramercy,305307,Overweight or Obese Adults,"127,000 ","41.5 (34.6,48.8)",
2014,Neighborhood (UHF 34),Manhattan, Upper West Side,304,Overweight or Obese Adults,"89,000 ","49.8 (41.4,58.2)",
2014,Neighborhood (UHF 34),Manhattan, Washington Heights,301,Overweight or Obese Adults,"117,000 ","58.5 (50.7,65.8)",
2014,Neighborhood (UHF 34),Queens, West Queens,402,Overweight or Obese Adults,"229,000 ","64.3 (57.8,70.3)",
2014,Neighborhood (UHF 34),Brooklyn, Williamsburg - Bushwick,211,Overweight or Obese Adults,"103,000 ","66.7 (58.0,74.4)",

Name:Overweight or Obese Adults,Measure:Number,How Calculated:Estimated number of adults classified as overweight or obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height rounded to the nearest 1000. A BMI between 25 and 29.9 is classified as overweight and a BMI of 30 or greater is classified as obese.,Source(s):New York City Community Health,Year:2014,
Name:Overweight or Obese Adults,Measure:Percent,How Calculated:Estimated number of adults classified as overweight or obese; based on the Body Mass Index (BMI) calculated from self-reported weight and height expressed as a percent. A BMI between 25 and 29.9 is classified as overweight and a BMI of 30 or greater is classified as obese.,Source(s):New York City Community Health,Year:2014,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
More information can be found at: http://nyc.gov/health/tracking
Accessed 07/24/2017
